,address,adm-fees,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,Price Split
0,"Avenida Raja Gabaglia, 1583",470.0,1.0,330000.0,1.0,0.0,Luxemburgo,Belo Horizonte,-19.9364152,-43.9533964,Baixo
1,"Rua Espírito Santo, 1171",0.0,1.0,480000.0,2.0,2925.0,Centro,Belo Horizonte,-18.8647762,-41.1217768,Médio
2,"Rua dos Expedicionários, 1082",0.0,5.0,1190000.0,4.0,0.0,Santa Amélia,Belo Horizonte,-20.2252407,-44.3977797,Muito Alto
3,"Rua Marechal Hermes, 81",750.0,4.0,1590000.0,4.0,0.0,Gutierrez,Belo Horizonte,-19.9371552,-43.9586943,Muito Alto
4,"Rua Juruna, 110",0.0,6.0,550000.0,3.0,0.0,Pindorama,Belo Horizonte,-19.9129822,-44.0199442,Médio
5,"Rua Maria Pereira de Araújo, 15",500.0,1.0,450000.0,3.0,0.0,Castelo,Belo Horizonte,-19.8861475,-44.0042361,Médio
6,"Rua Espírito Santo, 1580",0.0,2.0,861748.0,2.0,4260.0,Centro,Belo Horizonte,-18.8647762,-41.1217768,Alto
7,"Rua Matipó, 455",750.0,2.0,549900.0,4.0,0.0,Santo Antônio,Belo Horizonte,-19.9473515,-43.9434703,Médio
8,"Rua Pitangui, 000",0.0,2.0,890000.0,3.0,0.0,Sagrada Família,Belo Horizonte,-19.9023386,-43.9420716,Alto
9,"Avenida dos Bandeirantes, 76",2400.0,3.0,2550000.0,4.0,0.0,Sion,Belo Horizonte,-19.9572301,-43.9319731,Muito Alto
10,"Avenida Bias Fortes, 1603",480.0,1.0,310000.0,2.0,0.0,Lourdes,Belo Horizonte,-19.9320955,-43.9393472,Baixo
11,"Rua Maestro Delê Andrade, 231",350.0,1.0,311000.0,3.0,0.0,Santa Efigênia,Belo Horizonte,-19.9242017,-43.9131071,Baixo
12,"Rua Bom Despacho, 356",0.0,3.0,975000.0,5.0,0.0,Santa Tereza,Belo Horizonte,-19.8738542,-44.0049198,Alto
13,"Rua Curitiba, 1677",0.0,3.0,826000.0,2.0,4030.0,Lourdes,Belo Horizonte,-19.9122312,-43.9396634,Alto
14,"Rua Alvarenga Peixoto, 711",1092.0,3.0,1027000.0,3.0,0.0,Lourdes,Belo Horizonte,-19.929576,-43.9494157,Alto
15,Rua Carlos Schettino,200.0,1.0,180000.0,2.0,0.0,Nova Gameleira,Belo Horizonte,-19.9427423,-43.9951065,Muito Baixo
16,"Rua Barão de Cocais, 397",380000.0,2.0,750000.0,4.0,0.0,Sagrada Família,Belo Horizonte,-19.9093193,-43.9220712,Alto
